"","year","ACCESS-ESM1-5","CanESM5","CanESM5-1","CESM2","CESM2-WACCM","CMCC-CM2-SR5","CMCC-ESM2","EC-Earth3-CC","EC-Earth3-Veg","EC-Earth3-Veg-LR","GFDL-ESM4","GISS-E2-2-H","INM-CM4-8","INM-CM5-0","IPSL-CM6A-LR","IPSL-CM6A-LR-INCA","MPI-ESM-1-2-HAM","MPI-ESM1-2-LR","NorESM2-LM","NorESM2-MM","SAM0-UNICON","TaiESM1"
"1",1982,2.669016,-2.400682,-0.9884962,0.3444802,0.5077064,2.115286,1.222077,-2.16251,1.768074,-1.467766,-3.472496,-202090100,2.660943,5.270666,2.778346,0.8505406,-0.4971243,1.52775,-0.4739771,2.090166,1.581393,0.9717959
"2",1983,0.3158498,-0.7392696,-0.8231484,-0.6133223,1.962145,-1.197924,-0.7685902,-0.4401858,-1.824609,0.9515081,1.847291,-201828600,6.739699,11.07047,2.148226,4.13101,-0.5370548,0.8055202,0.7298434,1.557045,-0.8214368,-3.074917
"3",1984,0.5694329,2.141334,-0.9337478,1.431201,-0.2299033,0.01182064,2.129829,4.047352,-0.1985294,0.6273084,0.5006298,-200980600,4.387623,4.419873,0.6993684,1.578492,-1.73703,-0.8783284,1.361525,1.725173,-1.164534,0.04624243
"4",1985,2.984016,3.341798,0.6863908,1.66778,-0.3935831,2.194378,3.36121,-0.5584028,1.248702,-2.047033,0.8622649,-203301700,3.395786,5.26074,1.98764,0.2659264,0.7068105,-1.374844,2.008888,1.110044,-0.3135425,1.798011
"5",1986,2.39512,2.763423,2.262135,0.1336963,1.34075,2.366412,-0.1146726,0.9277449,1.203736,1.710859,-0.9845374,-203410100,2.872531,2.114749,0.9475727,1.991285,0.9018729,0.3497868,0.4108402,0.6537065,1.752002,-0.8214484
"6",1987,2.178766,0.2851786,2.077037,0.3601944,1.937592,-0.8440643,-0.1538692,-0.1511808,-0.3988423,0.1488167,-1.395259,-202247400,2.994514,3.894119,-0.5628828,3.283029,1.387956,0.5749613,1.566278,1.529847,1.263311,-1.958663
"7",1988,0.8496851,0.2230719,-0.09864216,1.210638,0.06272598,0.2910988,1.830839,-3.515233,1.647728,-4.943913,1.680834,-203435300,2.573941,5.133576,-0.8927088,1.729878,1.655129,0.302307,1.123994,1.818593,-1.854367,-0.6041565
"8",1989,-0.422705,0.2497203,-0.7511933,1.708121,0.4572067,3.068488,0.06247274,-1.246336,-1.616286,-0.2677173,-0.9181876,-202968400,1.853334,2.047308,-0.05878444,3.176684,1.447831,1.218083,1.458628,0.9752736,1.410613,1.072007
"9",1990,0.524754,2.229837,-0.6893246,0.308248,0.2822026,-0.1229249,0.9578247,4.007668,0.2500032,-0.2473228,-3.444331,-205880500,4.654517,4.33623,2.922938,1.501305,0.9714511,0.09164862,0.4123272,-0.7459269,1.227004,0.2246187
"10",1991,1.93943,-0.6350845,-1.760785,1.156301,1.737578,-1.220026,2.952287,0.8423712,-1.786441,2.87248,-0.3851103,-202250900,6.056852,5.169583,2.275997,2.096287,-0.04940366,0.3515295,0.5304493,1.450716,-0.5196262,-0.418179
"11",1992,2.713574,1.146033,-0.4733502,1.280939,1.387749,3.172086,1.426868,2.187807,4.078879,2.557241,5.345644,-200986600,13.0735,10.04182,1.439004,2.455706,-2.961579,0.5871056,1.285313,2.705815,-2.459784,1.44283
"12",1993,2.010925,2.47089,1.454178,0.2251439,1.463853,3.698875,1.544737,3.26986,0.430396,-1.475474,1.657826,-201973500,9.610152,8.761281,1.596844,2.14119,-1.133701,-0.2134175,2.83967,2.120677,0.6340858,-0.4870687
"13",1994,2.291576,1.730459,0.7524686,1.386744,2.259973,2.394382,1.51424,1.731375,-0.07780975,0.9345661,-3.272233,-203074100,7.95913,7.831114,1.432348,3.273028,-0.7156871,1.874524,2.14279,0.1313146,2.565441,-0.5668473
"14",1995,1.09597,1.78154,2.935616,2.222698,0.8819795,-0.453789,1.856493,-2.161498,0.4944367,0.6207709,-0.3216384,-202571800,5.050804,5.01024,1.381202,3.274999,3.417048,3.510363,1.397245,1.402924,-0.3896488,0.5411593
"15",1996,0.9738641,-0.2405434,0.3153091,2.353651,0.853269,1.10656,0.8498923,-1.801405,0.03309936,0.3532206,2.206896,-203545800,3.389771,2.420024,0.9788432,2.683384,3.016512,0.5967522,1.493496,0.4861617,-2.175737,-0.890551
"16",1997,1.016035,-0.5054076,0.9080577,0.472992,1.920791,2.016821,0.5146487,-0.9639707,-3.154675,-1.275625,3.679667,-207601100,5.043317,1.947563,1.651374,0.3718359,0.6186225,-0.2618319,1.356434,0.9294616,-1.462927,-0.4050566
"17",1998,-0.9519969,0.9326184,0.1851805,1.682943,1.536225,-0.4197803,0.8966948,0.4490595,1.467635,-2.650167,-0.5906211,-205561500,4.702147,4.692993,2.938474,2.130247,1.88623,0.2255324,1.369511,3.464102,1.091498,2.734145
"18",1999,0.1984119,2.458496,-0.6854171,2.363214,1.836122,2.957132,2.970033,0.006356999,1.93224,2.314126,-0.3663764,-205770900,4.993207,3.51054,1.712442,3.973879,2.56338,3.074659,2.242457,3.179381,1.367464,-0.8345584
"19",2000,2.146719,1.967241,1.655713,1.663693,0.9540911,1.967704,0.3657981,-0.4087343,3.655507,0.789045,-2.096663,-206792400,3.777776,2.427353,0.6399634,3.006952,0.5885358,1.599973,0.8903841,2.178609,0.8938048,-0.4532429
"20",2001,-1.774499,0.9071206,-0.4820876,0.5950953,0.9866022,0.8135467,-1.326523,0.1556291,-2.274314,0.6676255,-2.778604,-206357500,4.192803,3.513849,1.879609,3.317225,1.845765,1.786853,1.828597,1.548247,-1.532948,1.022181
"21",2002,-0.2620044,0.08312302,-0.3672259,1.249933,1.955077,-2.86045,0.8478065,-0.7080159,2.996089,-0.1209408,1.251035,-204738700,5.541384,3.080994,2.376685,3.07454,1.493519,0.008261865,3.864326,2.116084,-0.611285,1.22112
"22",2003,0.9048834,0.6342829,0.09317623,1.598775,0.8717449,1.700837,2.915295,2.260412,-0.3456549,1.826419,1.204941,-203759600,4.708807,3.265983,1.800119,2.186196,0.901874,-0.7152879,1.715495,0.6427767,0.9786386,-1.81379
"23",2004,-0.2655726,1.669631,2.082596,1.946345,1.28126,3.999141,2.771688,-0.07346588,1.169318,2.566722,-3.595549,-205055500,4.538199,1.454995,2.508378,3.611998,2.237052,0.9662779,0.6195568,-0.6565421,-0.8343538,-0.2756
"24",2005,-0.4843877,0.6152481,4.15833,2.466202,1.846868,2.037604,1.466358,2.489138,-1.968857,2.070862,1.917552,-203239600,5.716328,5.659851,0.272925,2.447194,1.999534,3.17088,2.020698,1.053119,-1.951787,1.669355
"25",2006,1.355536,3.939789,1.762822,1.221056,2.114559,-0.1217402,0.05153251,0.9080111,0.3841788,1.759571,3.627807,-204555800,6.037596,5.173709,1.19383,1.453109,-0.1531958,3.075028,3.040997,2.805067,0.3995788,-0.172535
"26",2007,4.278927,2.013266,1.197687,0.5313315,1.070358,1.228567,1.053806,1.703908,1.347859,-0.3090093,1.39459,-205924500,4.975858,4.389902,3.748275,4.274008,-0.0107352,0.8009922,3.037498,2.819182,-0.4002424,-0.6685539
"27",2008,2.639417,1.516973,3.683382,2.229062,1.047184,1.130257,2.422699,0.5139059,3.714348,1.722489,-1.751275,-203323800,5.548548,5.11265,3.027546,3.259267,3.610458,0.1024768,0.361979,1.801756,0.2349221,1.943399
"28",2009,1.509567,1.356417,1.682732,2.016922,2.501157,-0.6088517,1.641084,-1.597017,2.581256,-1.042168,-1.747024,-203794700,7.108134,4.068498,-0.1633059,2.348918,1.451519,1.608913,1.101566,2.483041,-1.743749,-0.1838874
"29",2010,0.2766116,-5.257818,-1.365589,-0.2884626,0.3305159,0.6775223,1.278664,1.562406,-2.673422,-0.6715634,-0.4623419,-205966200,3.347929,4.788815,-0.3388694,2.730093,2.13158,1.945878,0.08749277,0.6570357,-2.239625,-1.391613
"30",2011,0.8453302,-1.498932,1.083378,2.065235,0.6903704,1.977561,0.238705,-1.127199,0.3698376,1.424042,2.468778,-207226500,5.769077,5.363453,3.279064,2.412525,-0.08127751,0.03131479,1.263172,2.954555,0.7106362,-1.37521
