Model,Value
ACCESS-ESM1-5_nbp_var_coef.txt,0.0135979
CanESM5_nbp_var_coef.txt,0.015168
CanESM5-1_nbp_var_coef.txt,0.00915278
CESM2_nbp_var_coef.txt,0.00451913
CESM2-WACCM_nbp_var_coef.txt,0.00382848
CMCC-CM2-SR5_nbp_var_coef.txt,0.0203894
CMCC-ESM2_nbp_var_coef.txt,0.0101186
EC-Earth3-CC_nbp_var_coef.txt,0.0237736
EC-Earth3-Veg_nbp_var_coef.txt,0.0256974
EC-Earth3-Veg-LR_nbp_var_coef.txt,0.0207143
GFDL-ESM4_nbp_var_coef.txt,0.0342871
INM-CM4-8_nbp_var_coef.txt,0.0311264
INM-CM5-0_nbp_var_coef.txt,0.0296662
IPSL-CM6A-LR_nbp_var_coef.txt,0.00945148
IPSL-CM6A-LR-INCA_nbp_var_coef.txt,0.00627869
MPI-ESM-1-2-HAM_nbp_var_coef.txt,0.0127746
MPI-ESM1-2-LR_nbp_var_coef.txt,0.00924921
NorESM2-LM_nbp_var_coef.txt,0.00532063
NorESM2-MM_nbp_var_coef.txt,0.00773543
SAM0-UNICON_nbp_var_coef.txt,0.0116795
TaiESM1_nbp_var_coef.txt,0.010849
