"","year","BIOME-BGC_SG1","CLASS-CTEM-N_SG1","CLM4_SG1","CLM4VIC_SG1","DLEM_SG1","GTEC_SG1","LPJ-wsl_SG1","ORCHIDEE-LSCE_SG1","SiB3_SG1","SiBCASA_SG1","TEM6_SG1","VEGAS2.1_SG1","VISIT_SG1"
"1",1982,135.6491,66.69681,131.3568,101.3922,92.88266,166.3523,134.1045,97.80769,147.558,131.0147,81.86749,110.6275,106.1418
"2",1983,133.021,69.01199,130.0012,99.31651,91.71983,164.9995,131.0461,96.1266,146.9566,129.0483,83.02956,108.895,103.6736
"3",1984,136.0173,66.69385,132.6042,102.8051,94.31808,166.9916,135.6871,100.0225,147.1112,131.2153,82.86705,111.0886,107.8896
"4",1985,134.8214,66.4572,132.2123,102.1306,93.47771,166.9282,135.705,98.65652,147.4224,131.0345,82.69697,110.8703,106.2359
"5",1986,134.9857,66.45018,131.5887,101.3574,93.2566,166.658,134.1728,98.4372,147.0409,130.5484,83.1673,110.3671,106.129
"6",1987,132.3437,68.22672,130.49,99.936,91.2525,164.6215,131.5659,96.26051,146.892,128.5316,82.22459,108.8148,103.5645
"7",1988,135.9882,67.88587,131.963,101.2701,94.52404,167.4359,134.5318,97.882,147.6655,130.6529,83.14816,111.6486,105.8689
"8",1989,137.1872,67.75694,132.3819,102.2055,95.44602,168.7585,136.497,100.4171,147.3298,131.5535,83.0863,113.1198,107.4484
"9",1990,136.9677,68.90521,133.007,103.041,94.64368,168.4472,136.362,99.58664,147.5027,131.1029,85.02783,111.8903,105.4786
"10",1991,137.1943,68.90179,131.7947,101.1456,94.62888,166.5925,134.5452,98.03896,147.5124,131.1655,83.84033,111.9083,104.5661
"11",1992,129.0005,67.72875,129.2823,98.98628,92.98125,165.6181,132.404,98.1698,145.7767,129.5546,81.78522,109.4699,101.8763
"12",1993,132.4311,67.71482,130.6372,100.879,92.79108,165.8743,135.3384,100.3836,146.0723,130.1636,84.24721,110.1764,105.0296
"13",1994,133.6424,68.40826,131.204,101.4774,92.08952,167.2755,135.6769,98.55984,146.4887,130.3877,82.49859,111.5217,105.9226
"14",1995,135.6412,69.42491,131.7204,100.9133,92.64911,167.3645,134.7482,97.74445,146.8798,129.8503,83.24452,111.4742,104.3727
"15",1996,137.3235,67.08972,132.0812,102.0887,94.07898,167.3627,135.692,98.61026,147.3635,130.4458,82.49781,111.7023,106.7172
"16",1997,137.9184,68.44679,132.6714,101.9826,94.10797,167.5424,136.4903,99.63569,148.3976,131.1686,84.26434,112.5233,105.4
"17",1998,138.0504,70.80877,133.9457,102.7361,94.63197,167.5762,137.254,97.92928,149.3415,130.6396,84.24863,112.4521,106.5454
"18",1999,139.2561,68.52128,134.8145,104.72,97.33965,167.7134,139.6414,100.147,149.0935,132.5718,83.10432,113.8825,109.6005
"19",2000,139.1984,68.47454,135.4491,105.0001,95.99319,168.6144,139.0266,102.3639,150.0429,133.0708,85.68358,114.3853,109.7331
"20",2001,137.8704,69.61388,135.0823,104.2766,94.85837,168.8613,138.0769,99.35365,149.1879,131.7721,84.60463,114.0099,108.3288
"21",2002,134.9982,69.69626,134.2979,103.5825,93.48143,166.2516,134.9486,97.30535,148.6661,130.4282,83.76953,111.4441,107.7802
"22",2003,136.9387,69.38777,134.1392,103.5427,93.87278,167.4604,135.297,97.77493,148.5582,130.3431,84.40393,112.2635,107.3145
"23",2004,137.4493,69.9752,135.2379,104.0199,95.07593,168.0074,137.8853,99.653,149.2435,131.5514,84.79485,113.5656,108.4223
"24",2005,137.157,70.95572,134.5515,103.6601,93.42911,167.0675,137.4266,99.03188,149.2102,131.0701,84.88361,111.5166,106.9974
"25",2006,139.7469,70.52435,134.632,104.2778,95.72499,167.7107,136.9042,98.96549,148.1492,130.7473,84.11173,114.5947,108.3689
"26",2007,139.3914,70.14246,135.0365,103.9294,96.44396,168.3552,137.0762,99.17677,149.3389,131.9428,85.93495,113.6224,107.8182
"27",2008,140.7709,68.89248,136.1546,105.7315,96.2092,169.7594,138.9085,100.5681,149.4978,132.7816,84.69463,113.546,110.4211
"28",2009,138.3313,69.18864,135.5484,104.6598,94.71753,167.2509,136.6186,97.84365,148.9475,130.9447,84.56409,112.4657,108.1082
"29",2010,142.5972,70.15382,138.3907,107.433,96.5452,169.4319,141.5937,98.77284,150.0618,130.834,86.45975,116.5722,110.4782
