"","year","CABLE-POP","CLASSIC","CLM5.0","E3SM","EDv3","IBIS","ISAM","JSBACH","JULES","LPJ-GUESS","LPJmL","LPJwsl","LPX-Bern","OCN","ORCHIDEE","SDGVM","VISIT"
"1",1982,113.6612,148.330340859964,156.7943,180.4158,91.25131,108.397,109.768800632658,127.8073,185.3446,98.7181,168.1391,134.1544,123.7596,139.7176,107.8702,130.5001,118.6573
"2",1983,113.6216,145.90722630782,154.969,178.6359,89.12354,108.4708,108.916226409493,128.3607,183.8378,98.61015,168.491,132.2829,122.6174,139.8845,107.4759,130.5289,116.353
"3",1984,114.0949,151.266076764077,158.1477,182.9317,92.76302,110.2267,110.41328836804,130.2095,189.9281,101.09,171.8966,134.8985,125.7963,141.4935,111.2108,132.2068,120.2715
"4",1985,115.6459,149.057314279347,157.3363,182.2706,92.61398,109.556,109.481742109084,131.7858,187.8524,99.56814,170.2462,134.2816,124.7615,141.5042,110.4275,132.2256,119.1406
"5",1986,114.698,149.628812759375,158.7045,182.8253,92.68083,109.656,110.373674582723,132.021,187.7262,100.464,170.9697,134.3567,124.0012,142.2091,110.534,132.5149,119.7971
"6",1987,113.7877,146.254651925767,156.3256,180.5378,91.09239,110.8144,109.224633429142,128.326,182.6769,99.11295,168.9441,133.5503,122.931,140.7807,110.3366,129.7459,118.487
"7",1988,116.2344,150.215960919597,158.6145,182.7443,91.43114,111.86,111.299188297718,133.7511,189.7968,101.6612,173.1495,134.9351,125.855,144.423,112.767,134.6421,118.7153
"8",1989,117.1827,153.626838939811,161.3089,187.4806,93.84583,114.8426,111.49563615318,133.6124,192.1073,102.7961,174.3597,138.0852,127.9503,144.776,114.224,135.7254,122.7265
"9",1990,116.8669,153.793193355503,162.0646,186.4031,95.3802,114.6305,112.209200145266,134.9545,189.9488,103.1165,174.1363,139.1972,129.3092,146.1795,114.4059,134.0827,122.1044
"10",1991,117.4695,150.693513367553,160.5942,184.378,94.58563,112.4745,112.075975077334,134.4033,190.0566,101.4063,173.0667,136.1555,126.1739,145.2675,114.4552,133.9248,120.9179
"11",1992,115.1758,148.539785409778,159.2382,181.927,93.51381,112.6012,110.604853219023,130.4288,187.0609,102.2217,171.3295,134.586,124.2709,141.7999,111.9587,131.9372,118.7621
"12",1993,117.3548,150.830394109174,160.8511,185.5147,95.46262,114.5759,111.023423407263,133.2027,187.6214,102.6816,173.5601,137.1348,126.5158,145.6803,113.3923,133.4564,120.425
"13",1994,116.6244,149.307646683579,158.8858,184.0324,95.18441,113.3297,112.158692274423,131.436,186.4716,100.3259,171.3223,135.9522,125.5327,144.098,112.7347,133.3383,121.2467
"14",1995,117.4064,150.548312205015,160.0018,186.3445,94.40943,114.1271,112.067939165561,132.4639,188.1111,102.8105,175.0735,136.3774,126.9297,145.3322,114.085,134.703,121.0396
"15",1996,118.0429,152.188929862768,160.4481,187.0769,96.58575,114.1998,111.701782776149,132.7631,190.5205,103.1838,174.3681,136.4515,128.5324,145.4651,116.1639,135.618,122.543
"16",1997,120.935,154.148620689282,163.3112,188.6582,97.08385,115.8272,112.822798839535,138.018,192.4314,105.3599,176.8717,140.5693,131.0427,148.2901,115.939,139.1334,123.7759
"17",1998,121.1659,155.399053684225,162.3572,188.6982,96.29877,114.7311,112.947730113312,139.8501,194.4237,105.3508,176.2076,140.5175,131.5287,149.7172,116.928,138.4896,123.9641
"18",1999,120.6596,154.740691147063,162.9933,191.1178,98.11761,117.2629,113.567086995947,139.8475,196.6348,105.8052,178.1209,141.5241,132.1161,149.0562,118.002,138.9938,126.2335
"19",2000,122.8811,157.912642652373,166.2428,193.977,99.49982,117.238,114.369400445771,142.7717,198.7554,105.8072,179.5867,143.0596,134.5854,150.5079,118.3624,141.1731,127.4068
"20",2001,121.8595,155.781795961699,164.7149,191.253,99.09669,117.1577,114.382953374084,139.3299,195.4005,104.8756,176.6527,141.863,131.3933,149.034,117.2615,139.1084,127.4376
"21",2002,118.9795,153.150891971585,162.8072,187.9418,98.59829,117.1185,113.183600362438,135.3292,190.911,102.9503,173.7761,138.8025,128.6817,146.0376,116.7905,135.4048,124.2452
"22",2003,121.4251,153.62736628863,163.1687,189.9236,98.50964,118.6695,114.32185617128,137.9412,193.187,105.0689,177.8714,139.4969,130.0227,148.1216,118.0957,138.3568,124.5455
"23",2004,123.2137,156.374217253632,164.7085,192.3808,100.7684,117.8605,114.59408930947,141.314,197.3596,105.7637,177.8192,142.2408,132.3759,151.3633,120.0397,140.0727,127.6378
"24",2005,122.3032,155.137582796621,165.6684,191.7433,99.29903,117.6134,114.681180210663,138.7371,195.3439,105.661,177.4722,142.4259,131.0272,149.525,119.9163,137.4671,126.2749
"25",2006,123.5388,155.954523235793,165.6416,193.2309,100.9704,117.7275,115.904663671125,139.78,198.3082,107.1376,179.5334,143.0966,133.5225,150.9921,121.6081,141.2718,126.6827
"26",2007,125.6281,156.311320991459,166.7151,194.1967,101.5145,118.3636,115.782397895309,141.391,198.4132,106.7412,180.204,142.4756,132.7333,151.3027,121.8757,139.6379,128.8931
"27",2008,124.1667,157.010389354305,166.3783,194.5739,103.1216,118.8881,115.82729184242,142.0591,200.1012,107.4347,179.0269,142.596,133.4253,150.3716,122.5346,139.8153,129.1774
"28",2009,124.829,155.838477879132,166.0211,193.7148,102.1961,118.3441,114.921199619215,142.1769,198.1411,105.8774,178.9841,142.7204,133.0175,150.0514,121.9479,138.6896,128.4505
"29",2010,127.2415,159.206343800983,168.2778,196.954,102.3032,116.9299,116.169231746617,145.9769,202.1685,109.7653,182.7518,145.0867,136.2855,154.3457,124.2005,142.5293,129.2078
"30",2011,127.482,160.136079143205,171.0221,198.5139,104.4739,119.5218,116.976488584512,146.0397,203.3811,108.5602,182.4261,146.9201,135.712,154.4814,125.2613,141.9912,131.9648
